Date,Product_ID,Units_Sold,Sales_Price,Inventory_Level,Reorder_Threshold,Lead_Time,Supplier_Reliability
2024-01-01,P001,43,81.69,370,121,9,95.78
2024-01-01,P002,25,24.04,314,124,14,77.77
2024-01-01,P003,15,87.96,199,73,14,86.98
2024-01-01,P004,7,11.85,357,137,9,89.87
2024-01-01,P005,48,94.47,485,113,11,88.16
2024-01-02,P001,25,65.57,413,71,11,94.16
2024-01-02,P002,48,12.08,158,91,5,86.05
2024-01-02,P003,32,97.64,370,111,9,97.47
2024-01-02,P004,48,56.28,419,52,6,72.13
2024-01-02,P005,41,64.68,120,122,9,75.88
2024-01-03,P001,43,11.19,188,109,11,79.69
2024-01-03,P002,18,82.76,364,139,14,74.12
2024-01-03,P003,6,71.58,466,109,12,87.6
2024-01-03,P004,11,64.9,363,96,9,92.66
2024-01-03,P005,39,91.84,149,53,13,83.69
2024-01-04,P001,6,48.26,153,53,14,92.22
2024-01-04,P002,33,97.26,317,93,6,87.38
2024-01-04,P003,38,45.56,369,144,3,90.76
2024-01-04,P004,19,17.96,314,111,4,95.99
2024-01-04,P005,44,86.01,336,131,4,98.43
2024-01-05,P001,28,42.11,351,109,10,81.92
2024-01-05,P002,49,22.68,114,94,11,87.34
2024-01-05,P003,5,11.41,108,137,13,95.13
2024-01-05,P004,5,27.88,162,60,6,72.24
2024-01-05,P005,21,74.02,388,54,6,76.19
2024-01-06,P001,46,42.26,140,77,3,72.91
2024-01-06,P002,11,86.5,367,83,3,98.76
2024-01-06,P003,37,15.72,161,137,3,85.6
2024-01-06,P004,41,75.66,459,135,4,72.71
2024-01-06,P005,31,60.51,326,96,8,74.5
2024-01-07,P001,18,86.4,104,139,12,70.36
2024-01-07,P002,18,54.44,492,128,9,95.56
2024-01-07,P003,19,19.98,479,126,7,71.25
2024-01-07,P004,36,67.28,151,145,13,78.06
2024-01-07,P005,8,91.68,330,64,10,85.57
2024-01-08,P001,47,28.28,112,81,4,87.88
2024-01-08,P002,11,36.08,185,77,14,90.36
2024-01-08,P003,6,66.19,161,106,4,87.68
2024-01-08,P004,10,51.09,207,93,4,82.28
2024-01-08,P005,24,90.33,430,141,4,70.61
2024-01-09,P001,29,38.62,324,50,9,92.2
2024-01-09,P002,31,48.44,215,126,5,94.95
2024-01-09,P003,45,37.43,297,121,3,85.13
2024-01-09,P004,31,47.57,264,146,13,81.9
2024-01-09,P005,46,40.39,414,81,9,88.71
2024-01-10,P001,36,60.23,279,111,9,93.27
2024-01-10,P002,16,32.66,485,52,5,86.73
2024-01-10,P003,41,35.64,180,108,5,78.27
2024-01-10,P004,6,55.24,153,136,13,82.72
2024-01-10,P005,41,41.06,484,68,7,84.55
2024-01-11,P001,6,57.78,317,81,7,71.63
2024-01-11,P002,10,31.78,423,104,14,73.47
2024-01-11,P003,15,43.27,354,87,7,81.75
2024-01-11,P004,28,52.33,197,119,11,81.93
2024-01-11,P005,26,58.22,339,65,11,70.5
2024-01-12,P001,37,23.56,286,119,10,86.16
2024-01-12,P002,20,13.67,247,108,13,84.35
2024-01-12,P003,40,11.49,246,69,13,92.11
2024-01-12,P004,36,18.66,227,88,4,91.01
2024-01-12,P005,22,85.39,366,141,14,93.66
2024-01-13,P001,29,28.82,397,148,7,89.22
2024-01-13,P002,11,69.4,445,109,11,76.32
2024-01-13,P003,6,99.66,353,61,10,98.66
2024-01-13,P004,9,91.04,108,148,14,90.3
2024-01-13,P005,23,75.34,230,69,10,70.02
2024-01-14,P001,28,46.41,260,73,14,97.66
2024-01-14,P002,15,94.21,203,133,9,95.73
2024-01-14,P003,39,43.51,198,74,7,84.55
2024-01-14,P004,33,35.55,465,131,10,74.71
2024-01-14,P005,6,72.27,307,110,9,88.23
2024-01-15,P001,45,25.83,167,82,4,89.62
2024-01-15,P002,18,39.29,483,57,4,78.9
2024-01-15,P003,11,74.88,227,82,5,78.22
2024-01-15,P004,16,55.79,474,71,5,88.41
2024-01-15,P005,34,97.57,464,100,4,89.78
2024-01-16,P001,12,66.8,325,70,13,87.6
2024-01-16,P002,34,68.06,466,113,4,74.19
2024-01-16,P003,37,27.57,416,97,8,89.45
2024-01-16,P004,23,61.48,291,98,12,87.19
2024-01-16,P005,21,99.51,257,142,11,85.61
2024-01-17,P001,10,43.31,332,86,4,88.18
2024-01-17,P002,28,39.77,401,102,10,91.15
2024-01-17,P003,35,96.73,215,112,9,75.08
2024-01-17,P004,25,27.18,260,116,10,72.97
2024-01-17,P005,22,60.11,322,103,5,71.01
2024-01-18,P001,7,61.31,379,81,14,88.81
2024-01-18,P002,26,42.28,226,76,12,76.5
2024-01-18,P003,46,88.96,372,82,12,79.17
2024-01-18,P004,13,73.22,275,88,6,77.71
2024-01-18,P005,33,36.69,125,148,14,90.79
2024-01-19,P001,29,65.04,415,56,3,75.26
2024-01-19,P002,40,81.85,420,57,5,91.05
2024-01-19,P003,20,14.57,470,136,5,87.49
2024-01-19,P004,19,43.8,421,81,8,87.05
2024-01-19,P005,27,70.48,150,74,8,93.02
2024-01-20,P001,26,63.17,441,98,11,85.12
2024-01-20,P002,46,84.03,153,109,9,75.49
2024-01-20,P003,41,57.0,152,109,4,86.49
2024-01-20,P004,48,96.87,202,117,10,83.71
2024-01-20,P005,10,14.65,471,143,8,73.02
2024-01-21,P001,39,67.37,407,65,3,84.4
2024-01-21,P002,17,97.26,205,79,7,84.84
2024-01-21,P003,23,81.57,418,68,6,87.83
2024-01-21,P004,32,76.96,445,139,13,93.32
2024-01-21,P005,27,48.55,495,50,7,94.36
2024-01-22,P001,5,49.81,195,97,14,75.56
2024-01-22,P002,29,69.42,472,50,3,79.58
2024-01-22,P003,20,56.5,291,112,5,81.77
2024-01-22,P004,9,65.05,346,116,14,81.63
2024-01-22,P005,16,60.94,185,106,3,72.41
2024-01-23,P001,33,20.45,168,96,4,85.1
2024-01-23,P002,34,86.99,303,65,11,77.32
2024-01-23,P003,30,78.7,440,88,10,81.99
2024-01-23,P004,40,25.59,321,72,12,81.72
2024-01-23,P005,14,95.42,199,83,8,72.37
2024-01-24,P001,35,11.38,246,107,5,86.66
2024-01-24,P002,36,87.08,424,53,4,81.34
2024-01-24,P003,20,16.35,346,51,11,73.35
2024-01-24,P004,32,62.72,439,73,6,74.4
2024-01-24,P005,16,44.94,479,82,3,84.8
2024-01-25,P001,37,83.01,200,61,7,85.91
2024-01-25,P002,7,83.84,267,123,11,93.13
2024-01-25,P003,47,27.62,496,61,5,91.59
2024-01-25,P004,35,43.95,352,84,6,79.05
2024-01-25,P005,27,16.41,363,142,11,84.04
2024-01-26,P001,30,71.35,214,56,13,98.24
2024-01-26,P002,8,72.36,213,124,3,96.04
2024-01-26,P003,33,13.53,316,70,12,88.22
2024-01-26,P004,40,25.97,291,148,4,88.63
2024-01-26,P005,39,47.14,195,73,6,96.31
2024-01-27,P001,27,93.77,136,61,12,81.88
2024-01-27,P002,17,76.59,454,79,12,74.17
2024-01-27,P003,21,58.09,183,138,12,91.79
2024-01-27,P004,26,36.79,118,98,6,75.79
2024-01-27,P005,40,10.98,332,68,12,85.84
2024-01-28,P001,16,41.94,383,127,7,87.74
2024-01-28,P002,35,95.55,438,65,10,77.76
2024-01-28,P003,9,36.39,124,101,14,81.19
2024-01-28,P004,25,77.71,250,65,11,80.51
2024-01-28,P005,43,18.21,141,107,3,76.29
2024-01-29,P001,43,99.63,221,54,3,72.59
2024-01-29,P002,39,89.89,334,124,14,80.27
2024-01-29,P003,22,97.18,108,123,3,76.73
2024-01-29,P004,48,88.02,329,56,4,76.13
2024-01-29,P005,17,30.03,492,99,6,76.74
2024-01-30,P001,31,73.56,104,78,6,81.56
2024-01-30,P002,41,30.99,235,114,10,82.49
2024-01-30,P003,26,83.15,426,138,14,83.84
2024-01-30,P004,49,77.8,169,80,12,71.08
2024-01-30,P005,23,79.94,281,88,3,90.25
2024-01-31,P001,31,32.39,118,88,12,73.98
2024-01-31,P002,7,32.83,341,141,9,87.07
2024-01-31,P003,24,20.69,416,88,12,76.8
2024-01-31,P004,5,71.29,447,111,14,89.48
2024-01-31,P005,29,88.17,216,55,6,97.06
2024-02-01,P001,48,98.01,272,110,7,89.95
2024-02-01,P002,25,13.91,312,124,10,85.26
2024-02-01,P003,41,32.77,246,69,12,75.77
2024-02-01,P004,22,24.96,404,63,11,92.59
2024-02-01,P005,19,50.91,472,103,13,82.64
2024-02-02,P001,7,91.1,111,123,3,73.84
2024-02-02,P002,36,15.21,457,125,9,77.83
2024-02-02,P003,28,65.81,107,141,10,79.5
2024-02-02,P004,40,51.73,285,109,5,96.29
2024-02-02,P005,32,17.0,140,149,7,80.94
2024-02-03,P001,31,72.83,244,122,12,85.55
2024-02-03,P002,37,47.01,319,78,14,70.54
2024-02-03,P003,17,91.98,352,55,10,82.32
2024-02-03,P004,22,47.5,296,96,6,79.96
2024-02-03,P005,29,47.64,411,79,3,86.4
2024-02-04,P001,49,24.84,388,114,12,85.27
2024-02-04,P002,22,98.85,276,60,5,90.86
2024-02-04,P003,25,77.46,316,135,9,96.64
2024-02-04,P004,31,61.22,197,148,5,77.96
2024-02-04,P005,5,11.23,410,55,11,77.2
2024-02-05,P001,32,83.16,450,54,6,96.11
2024-02-05,P002,42,92.18,122,102,13,90.55
2024-02-05,P003,41,78.14,182,66,5,92.72
2024-02-05,P004,25,50.55,465,50,11,92.13
2024-02-05,P005,49,64.56,468,81,9,87.48
2024-02-06,P001,38,42.23,171,88,7,74.99
2024-02-06,P002,30,54.83,217,52,12,72.67
2024-02-06,P003,16,83.47,335,54,7,82.54
2024-02-06,P004,34,88.9,412,66,12,71.74
2024-02-06,P005,27,77.96,440,63,9,70.24
2024-02-07,P001,6,82.45,202,87,12,94.66
2024-02-07,P002,38,41.55,197,131,13,74.56
2024-02-07,P003,34,59.93,407,87,10,95.11
2024-02-07,P004,37,80.53,129,100,4,78.47
2024-02-07,P005,21,95.46,487,59,3,74.46
2024-02-08,P001,21,54.29,439,137,10,86.19
2024-02-08,P002,9,98.2,152,115,12,86.94
2024-02-08,P003,17,28.82,142,124,4,82.19
2024-02-08,P004,27,21.52,194,124,4,70.4
2024-02-08,P005,20,67.68,459,53,10,89.47
2024-02-09,P001,29,90.71,294,76,4,81.54
2024-02-09,P002,33,97.58,160,100,14,84.57
2024-02-09,P003,23,83.96,191,91,9,93.27
2024-02-09,P004,26,17.98,100,54,13,78.61
2024-02-09,P005,45,42.04,145,83,3,84.14
2024-02-10,P001,18,39.71,172,75,14,71.35
2024-02-10,P002,26,17.36,449,112,12,84.35
2024-02-10,P003,21,34.92,356,57,11,90.69
2024-02-10,P004,39,26.61,306,96,5,78.52
2024-02-10,P005,26,31.25,127,136,3,70.7
2024-02-11,P001,18,51.63,464,75,6,71.26
2024-02-11,P002,18,23.3,470,56,4,78.32
2024-02-11,P003,7,90.57,337,67,10,97.08
2024-02-11,P004,42,57.94,114,113,4,72.91
2024-02-11,P005,29,76.37,127,123,8,93.61
2024-02-12,P001,43,38.99,330,135,7,95.27
2024-02-12,P002,30,58.18,124,66,6,94.61
2024-02-12,P003,17,63.42,167,59,7,77.64
2024-02-12,P004,7,68.39,245,149,5,89.42
2024-02-12,P005,26,62.82,363,89,11,75.79
2024-02-13,P001,48,21.48,200,55,4,85.52
2024-02-13,P002,30,64.68,414,119,11,84.27
2024-02-13,P003,41,94.03,249,70,7,86.77
2024-02-13,P004,10,42.88,211,53,5,76.86
2024-02-13,P005,34,26.79,417,143,5,93.87
2024-02-14,P001,35,15.01,236,52,9,75.13
2024-02-14,P002,35,46.94,135,73,7,93.73
2024-02-14,P003,35,90.69,319,124,14,97.69
2024-02-14,P004,8,10.48,217,143,12,81.36
2024-02-14,P005,42,70.18,293,128,4,71.85
2024-02-15,P001,15,61.45,272,93,5,86.79
2024-02-15,P002,9,26.83,217,117,13,88.83
2024-02-15,P003,23,27.96,119,61,6,71.02
2024-02-15,P004,5,64.96,419,87,3,75.4
2024-02-15,P005,41,55.55,455,126,3,91.3
2024-02-16,P001,47,63.45,489,99,14,74.86
2024-02-16,P002,14,59.37,237,93,13,93.78
2024-02-16,P003,6,39.01,229,133,10,86.85
2024-02-16,P004,5,22.49,428,66,14,93.08
2024-02-16,P005,13,63.61,137,84,11,97.82
2024-02-17,P001,34,19.6,168,111,9,71.21
2024-02-17,P002,48,46.77,472,124,4,72.82
2024-02-17,P003,13,28.45,134,50,8,92.72
2024-02-17,P004,44,74.94,159,113,3,91.11
2024-02-17,P005,33,22.58,460,63,13,79.01
2024-02-18,P001,34,84.26,264,54,12,82.92
2024-02-18,P002,23,69.87,161,53,3,81.01
2024-02-18,P003,29,88.95,188,67,9,88.69
2024-02-18,P004,44,50.68,203,63,5,72.46
2024-02-18,P005,36,51.64,452,72,7,77.07
2024-02-19,P001,19,61.97,244,146,3,91.49
2024-02-19,P002,6,58.92,203,100,10,86.88
2024-02-19,P003,43,20.52,233,116,8,72.41
2024-02-19,P004,11,75.75,141,113,4,84.64
2024-02-19,P005,19,89.08,388,143,14,94.51
2024-02-20,P001,43,61.58,256,87,12,84.71
2024-02-20,P002,37,73.63,388,117,6,73.55
2024-02-20,P003,26,74.27,104,123,7,78.48
2024-02-20,P004,37,19.26,496,80,8,71.78
2024-02-20,P005,40,51.13,283,64,11,72.35
2024-02-21,P001,33,58.59,256,96,5,96.49
2024-02-21,P002,8,75.0,229,76,9,89.69
2024-02-21,P003,35,63.86,391,75,10,71.77
2024-02-21,P004,47,63.91,247,60,7,89.28
2024-02-21,P005,14,40.83,233,121,3,97.24
2024-02-22,P001,27,51.58,401,61,5,79.26
2024-02-22,P002,30,62.76,309,138,5,86.84
2024-02-22,P003,37,11.63,415,92,8,87.96
2024-02-22,P004,16,19.2,423,54,5,83.1
2024-02-22,P005,41,73.65,205,141,8,70.5
2024-02-23,P001,35,64.6,150,78,11,89.99
2024-02-23,P002,18,94.09,313,60,7,77.02
2024-02-23,P003,27,21.05,200,70,14,75.21
2024-02-23,P004,30,85.5,281,136,4,97.95
2024-02-23,P005,5,88.29,154,89,11,97.24
2024-02-24,P001,19,45.91,408,58,12,94.59
2024-02-24,P002,14,82.26,216,75,12,96.78
2024-02-24,P003,45,20.28,343,74,13,91.23
2024-02-24,P004,30,92.79,485,56,12,75.84
2024-02-24,P005,22,53.28,446,66,5,98.53
2024-02-25,P001,47,12.96,350,100,9,76.99
2024-02-25,P002,28,61.99,279,119,14,76.87
2024-02-25,P003,28,38.03,384,112,6,81.09
2024-02-25,P004,47,66.9,255,134,6,84.55
2024-02-25,P005,11,97.8,460,98,8,96.96
2024-02-26,P001,24,47.32,162,110,11,98.67
2024-02-26,P002,44,55.2,356,145,6,86.75
2024-02-26,P003,17,45.76,478,105,12,93.27
2024-02-26,P004,23,41.44,257,78,11,90.63
2024-02-26,P005,49,44.0,243,89,12,87.3
2024-02-27,P001,23,15.91,177,96,5,82.74
2024-02-27,P002,6,58.1,212,143,14,95.16
2024-02-27,P003,42,78.88,231,50,11,93.69
2024-02-27,P004,12,87.56,458,52,6,76.71
2024-02-27,P005,36,34.51,465,83,14,75.32
2024-02-28,P001,37,12.28,387,99,6,76.81
2024-02-28,P002,11,69.3,420,106,7,94.45
2024-02-28,P003,7,30.8,354,121,6,96.89
2024-02-28,P004,41,26.07,196,141,8,91.32
2024-02-28,P005,12,18.95,195,137,12,81.36
2024-02-29,P001,18,64.29,401,65,7,90.13
2024-02-29,P002,8,95.0,281,134,6,79.32
2024-02-29,P003,18,36.38,106,123,3,78.82
2024-02-29,P004,11,76.23,184,68,3,87.95
2024-02-29,P005,23,62.47,287,131,12,72.35
2024-03-01,P001,6,91.96,296,69,11,77.81
2024-03-01,P002,15,33.35,485,116,6,80.86
2024-03-01,P003,27,13.08,119,54,4,91.85
2024-03-01,P004,41,46.85,321,58,13,70.88
2024-03-01,P005,38,87.5,454,135,12,95.68
2024-03-02,P001,48,22.61,301,79,12,70.69
2024-03-02,P002,27,81.99,308,130,12,83.0
2024-03-02,P003,18,76.75,336,74,13,90.02
2024-03-02,P004,43,29.62,377,53,13,71.51
2024-03-02,P005,30,57.31,208,147,8,75.95
2024-03-03,P001,27,71.49,425,67,9,85.16
2024-03-03,P002,25,83.35,140,87,8,84.41
2024-03-03,P003,38,59.88,252,125,4,90.09
2024-03-03,P004,27,19.59,441,134,10,76.48
2024-03-03,P005,31,91.0,233,140,12,88.12
2024-03-04,P001,44,32.57,336,102,8,96.46
2024-03-04,P002,11,61.6,289,95,13,74.48
2024-03-04,P003,6,24.97,462,114,7,95.25
2024-03-04,P004,40,79.39,128,70,12,83.7
2024-03-04,P005,15,35.98,263,108,14,74.61
2024-03-05,P001,43,64.94,409,147,6,79.43
2024-03-05,P002,28,94.31,168,105,11,81.53
2024-03-05,P003,37,34.29,338,69,8,78.87
2024-03-05,P004,23,63.56,436,111,3,81.28
2024-03-05,P005,49,23.92,300,75,14,73.35
2024-03-06,P001,6,19.59,300,89,7,80.59
2024-03-06,P002,21,47.15,160,92,4,80.3
2024-03-06,P003,44,49.13,138,84,14,93.28
2024-03-06,P004,7,17.0,207,93,5,74.17
2024-03-06,P005,34,10.47,111,68,6,86.72
2024-03-07,P001,41,18.24,404,110,8,77.03
2024-03-07,P002,21,95.52,410,96,11,80.34
2024-03-07,P003,16,58.77,315,132,5,86.12
2024-03-07,P004,12,67.51,180,136,11,88.7
2024-03-07,P005,41,72.3,297,121,9,96.21
2024-03-08,P001,29,91.3,367,64,9,87.64
2024-03-08,P002,30,14.64,125,96,3,71.45
2024-03-08,P003,36,73.5,298,66,13,94.37
2024-03-08,P004,27,60.02,185,56,6,91.5
2024-03-08,P005,18,20.85,106,58,7,92.88
2024-03-09,P001,12,97.4,314,142,11,77.43
2024-03-09,P002,22,77.06,471,88,10,80.44
2024-03-09,P003,39,38.72,202,66,4,97.67
2024-03-09,P004,18,63.66,207,109,5,91.7
2024-03-09,P005,49,16.93,392,92,4,98.67
2024-03-10,P001,44,49.69,463,88,10,83.35
2024-03-10,P002,19,82.36,103,142,12,76.5
2024-03-10,P003,26,38.69,309,82,3,78.26
2024-03-10,P004,20,48.41,207,115,12,76.34
2024-03-10,P005,39,88.31,350,62,10,79.71
2024-03-11,P001,17,44.56,195,148,8,81.34
2024-03-11,P002,43,10.85,128,111,13,78.89
2024-03-11,P003,33,13.38,335,106,10,79.84
2024-03-11,P004,20,88.63,338,59,12,98.16
2024-03-11,P005,34,47.6,458,133,3,81.33
2024-03-12,P001,9,75.9,276,52,6,98.66
2024-03-12,P002,49,41.92,257,117,5,98.9
2024-03-12,P003,22,31.02,252,97,14,89.31
2024-03-12,P004,5,91.93,172,64,7,79.32
2024-03-12,P005,28,21.2,286,86,14,87.2
2024-03-13,P001,41,18.05,297,88,5,70.05
2024-03-13,P002,28,52.07,432,147,14,95.0
2024-03-13,P003,29,76.9,359,108,7,75.95
2024-03-13,P004,12,94.85,162,103,5,98.13
2024-03-13,P005,49,20.83,206,147,12,94.61
2024-03-14,P001,30,13.31,358,55,5,83.89
2024-03-14,P002,9,15.21,146,136,13,76.84
2024-03-14,P003,13,93.5,477,110,12,87.11
2024-03-14,P004,46,56.37,437,111,10,82.35
2024-03-14,P005,21,23.85,259,148,8,82.24
2024-03-15,P001,42,66.06,480,138,8,86.01
2024-03-15,P002,13,90.54,456,147,12,95.45
2024-03-15,P003,15,88.97,422,141,6,97.66
2024-03-15,P004,33,89.99,325,125,9,70.02
2024-03-15,P005,46,82.86,139,74,10,76.03
2024-03-16,P001,9,76.17,325,137,3,72.75
2024-03-16,P002,19,10.46,350,54,7,84.81
2024-03-16,P003,30,57.93,136,109,8,70.06
2024-03-16,P004,17,90.5,180,89,5,82.82
2024-03-16,P005,49,53.25,448,107,8,83.96
2024-03-17,P001,7,41.3,453,89,11,85.1
2024-03-17,P002,31,87.8,388,55,6,84.59
2024-03-17,P003,28,81.77,267,141,14,76.31
2024-03-17,P004,37,24.16,403,90,12,73.75
2024-03-17,P005,17,85.33,444,102,3,76.12
2024-03-18,P001,46,19.53,254,87,3,71.27
2024-03-18,P002,11,89.35,144,107,4,94.04
2024-03-18,P003,35,84.32,493,81,13,75.9
2024-03-18,P004,47,30.58,138,80,12,79.55
2024-03-18,P005,22,83.62,305,126,8,77.98
2024-03-19,P001,33,33.28,323,62,11,70.39
2024-03-19,P002,31,98.31,116,144,3,85.51
2024-03-19,P003,38,67.06,443,84,11,92.15
2024-03-19,P004,10,35.5,173,145,5,74.17
2024-03-19,P005,38,40.77,159,128,11,91.4
2024-03-20,P001,34,77.83,377,117,14,84.04
2024-03-20,P002,24,71.91,341,117,5,77.77
2024-03-20,P003,31,24.97,111,71,8,98.88
2024-03-20,P004,21,62.4,292,71,3,88.59
2024-03-20,P005,30,16.72,309,99,3,90.43
2024-03-21,P001,18,97.61,384,125,9,72.17
2024-03-21,P002,40,68.28,480,125,10,97.51
2024-03-21,P003,11,15.91,132,55,13,86.76
2024-03-21,P004,19,83.69,157,136,4,77.47
2024-03-21,P005,30,24.3,325,78,11,76.24
2024-03-22,P001,8,48.36,496,88,12,79.33
2024-03-22,P002,19,81.53,256,124,9,81.9
2024-03-22,P003,36,17.41,183,71,14,75.23
2024-03-22,P004,15,34.59,436,105,11,70.84
2024-03-22,P005,32,75.81,402,129,6,82.38
2024-03-23,P001,41,67.47,361,68,13,95.91
2024-03-23,P002,9,98.56,356,107,8,81.01
2024-03-23,P003,42,30.7,262,113,12,87.9
2024-03-23,P004,29,74.34,373,64,10,87.2
2024-03-23,P005,48,52.59,171,109,14,97.15
2024-03-24,P001,29,88.18,408,57,13,84.34
2024-03-24,P002,19,50.83,149,120,7,87.58
2024-03-24,P003,7,81.71,280,73,3,76.85
2024-03-24,P004,7,26.69,114,74,11,79.24
2024-03-24,P005,34,20.56,372,133,7,74.2
2024-03-25,P001,40,60.26,418,135,7,84.63
2024-03-25,P002,6,81.78,494,113,7,92.2
2024-03-25,P003,17,23.46,376,67,11,70.69
2024-03-25,P004,34,45.32,465,144,8,92.68
2024-03-25,P005,42,36.25,400,138,14,72.82
2024-03-26,P001,37,95.74,491,60,9,80.44
2024-03-26,P002,26,77.42,140,66,12,70.91
2024-03-26,P003,16,98.8,259,128,3,84.39
2024-03-26,P004,20,53.41,191,69,6,97.04
2024-03-26,P005,37,60.37,341,146,9,83.69
2024-03-27,P001,6,58.08,332,126,9,97.61
2024-03-27,P002,34,12.99,215,75,13,88.27
2024-03-27,P003,26,38.99,265,139,8,83.56
2024-03-27,P004,19,28.01,474,93,5,82.75
2024-03-27,P005,44,67.28,222,55,12,70.1
2024-03-28,P001,13,94.26,458,144,7,90.76
2024-03-28,P002,36,36.9,303,57,6,89.91
2024-03-28,P003,12,74.27,417,133,7,75.96
2024-03-28,P004,11,69.47,307,53,7,91.8
2024-03-28,P005,10,83.56,482,52,10,70.82
2024-03-29,P001,45,24.76,113,124,10,91.95
2024-03-29,P002,22,15.43,186,61,7,70.5
2024-03-29,P003,17,53.14,342,68,6,95.43
2024-03-29,P004,40,76.99,320,102,13,71.27
2024-03-29,P005,36,54.84,181,119,10,92.24
2024-03-30,P001,22,68.79,136,145,14,98.0
2024-03-30,P002,45,54.39,301,84,9,89.22
2024-03-30,P003,33,47.66,306,146,12,81.79
2024-03-30,P004,11,51.64,449,134,11,82.56
2024-03-30,P005,35,47.43,123,69,3,93.18
2024-03-31,P001,41,41.13,463,69,7,89.2
2024-03-31,P002,28,58.9,195,85,7,80.76
2024-03-31,P003,38,53.8,165,128,6,91.7
2024-03-31,P004,38,81.37,394,91,4,70.66
2024-03-31,P005,16,44.55,117,89,7,82.05
